metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,rl_only,0.4982857142857143,0.06809357307321706,0.4794285714285714,0.517142857142857,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428571,0.2765714285714285,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,hybrid,0.7641896052922132,0.06103473972107329,0.7473556505876647,0.7804300344401712,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15900916460477085,0.20773462135820295,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012632916706472503,0.03506846343536987,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,rl_only,0.5832846795424251,0.06341149803643445,0.5659091532471106,0.6009550164664975,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2542413908047175,0.2935882085853605,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,hybrid,0.6514285714285714,0.06829877767625107,0.6325714285714286,0.6702857142857142,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.1731428571428571,50
