anchor,row_type,profile,metric,checkpoint,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,1000,rl_only,0.06,0.08209055249436231,0.03714285714285714,0.08285714285714285,50,20000,16777386725664924018
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,2000,hybrid,0.3942857142857142,0.17922039510285837,0.3457142857142857,0.4457142857142856,50,20000,7622494000681043078
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,2000,rl_only,0.08,0.10860518118898016,0.05142857142857142,0.11142857142857142,50,20000,9801861123491142995
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,5000,hybrid,0.4257142857142856,0.1670230813519194,0.37999999999999995,0.47142857142857136,50,20000,816699453730049619
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,5000,rl_only,0.09714285714285716,0.1058080114025773,0.06857142857142856,0.12857142857142856,50,20000,7110181515406984551
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,10000,hybrid,0.4285714285714284,0.17074694419062766,0.3828571428571428,0.4742857142857143,50,20000,17273660697174297427
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,10000,rl_only,0.09714285714285714,0.12393654245460388,0.0657142857142857,0.13142857142857145,50,20000,16212347652476838292
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,20000,hybrid,0.4514285714285713,0.17640965538754538,0.40285714285714286,0.49999999999999994,50,20000,9629778571138032873
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,20000,rl_only,0.1,0.10894977808195215,0.07142857142857142,0.1314285714285714,50,20000,13924339559678622735
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,30000,hybrid,0.45428571428571424,0.15726208040251824,0.41142857142857137,0.4971428571428571,50,20000,7208264021551489594
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,30000,rl_only,0.1285714285714286,0.09680441816841977,0.10285714285714284,0.15428571428571428,50,20000,3600633015577317301
primary_corrected,final_profile_descriptive,balanced,f1_at_7,30000,hybrid,0.45428571428571424,0.15726208040251824,0.4114285714285713,0.4971428571428571,50,20000,17583008110590565606
primary_corrected,final_profile_descriptive,balanced,f1_at_7,30000,rl_only,0.1285714285714286,0.09680441816841977,0.10285714285714284,0.15428571428571428,50,20000,3103624044397321402
primary_corrected,final_profile_descriptive,balanced,f1_at_7,30000,topsis_only,0.58,0.16175320179946415,0.5342857142857143,0.6228571428571429,50,20000,11971599541914468243
primary_corrected,final_profile_descriptive,balanced,f1_at_7,30000,popularity,0.14285714285714282,0.10798984943120778,0.11428571428571427,0.17428571428571424,50,20000,17068439935078332620
primary_corrected,final_profile_descriptive,balanced,f1_at_7,30000,random,0.011428571428571429,0.04863826648086933,0.0,0.02571428571428571,50,20000,4015171528465425901
primary_corrected,final_profile_descriptive,balanced,ndcg_at_7,30000,hybrid,0.4674237443806749,0.16471028726140918,0.4224799514876515,0.5124150193767867,50,20000,16754488436487406519
